sentence,label
"Hi, my name is Raj Shah.",1
"I'm from Spectro Coating, I'm Vice President of the operations.",1
Key Polymer brings a technical aspect to our operation that we don't have internally.,0
"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0
"Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.",1
I've been working with Key Polymer for a couple of years.,1
"Introduction Speaker: Dr. Erma Jean Sims, Sonoma State University My name is Dr. Erma Jean Sims I'm a member of the faculty of the School of Education at Sonoma State University.",1
I also hold a Juris Doctor degree in Law.,1
"It's important for teachers to understand their legal, ethical, and professional obligations in an educational setting.",0
the state of American education,0
"A 1983 report, “A Nation at Risk,” argued that America itself was “being eroded by a rising tide of mediocrity",-1
"” [President Ronald Reagan:] ""Look at the record",0
"Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation",1
"But during the same period, Scholastic Aptitude Test results went down, down and down",-2
""" President Ronald Reagan blamed the professional bureaucracy of education",-1
"And in part, Al Shanker did too",0
"For decades as a teacher and activist, he had complained about the burden of bureaucratic interference",1
"""Now, that word 'professional' is becoming more and more of a dirty word for teachers",-2
It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-1
"To me specifically, social justice means that there isn’t really a separation between people based on their age, based on their religion their beliefs, their country of origin, things like that.",2
"Ultimately no matter who you are or where you are, you have an equal opportunity to participate and be an active citizen in your own society and also in the world.",2
I think social justice is extremely important for young people.,-1
"I’m approaching it from the angle of youth empowerment though because I think that in this time where we are experiencing economic crisis, where there is an unprecedented amount of unemployment, I think that young people naturally have a very creative mind and a lot of time and I think that if young people try to follow in the footsteps of those who came before them they are going to fall in to the same traps.",3
So to me I think a part of the conversation has to be entrepreneurship and specifically social business because to me social business is a huge part of how we can all achieve inclusion and social justice essentially.,2
"When you are young I think it is important to already start out with the mindset that the choices that I make have an impact on the rest of the world, the choices that I make, for myself, can have social impact.",2
"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",3
But it doesn’t have to escalate to the point of unrest.,1
^it's amazing to see their enthusiasm and their passion,3
^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,2
^- The work that I'm doing at the Human Right Center ^is that I am annotating a memoir about ^_ and genocide,2
My goal is to become a human rights lawyer,1
- The experience with the center was really informative of what I ended up doing after I graduated,2
"In fact, it's sort of how I got my job",1
"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-1
That included doing early warning of potential ^human rights violations and war crimes around the world,-2
"^- I think it's very important for any student ^if you're gonna have a leadership role ^in business or politics and law, finance",2
Having at least an awareness and sensitivity to human rights issues is critical in today's world,1
"""I just have a passion for it",2
"It's so fun, and it's a great workout",2
"And number two, it's awesome",3
""" Strong social media game With over half a million followers on both her Twitter and Instagram pages, De La Garza has cultivated her stardom into a loyal fanbase",2
"Like any teen, her pages are filled with selfies and group photos with friends, but De La Garza also uses her platform to promote causes she supports, like The National Alliance on Mental Illness and the Suicide Prevention Lifeline",1
"Ukrainian consumers could receive gas from Russia at a price of $247 per 1,000 cubic metres.",-1
But our Ukrainian partners rejected this possibility for reasons unknown to me.,-1
It is common knowledge that the reverse-flow gas that they (Ukraine) are receiving from several European countries costs $20-30 more for consumers.,-1
People who know about this have to think about it one more time.,1
"Is it cheaper to receive Russian gas, or to get reverse-flow gas for $20-30 dollars more than the Russian price.",1
"That means paying the price of $270-280 per 1,000 cubic metre, that's the possible price for the third quarter.",0
This is Financial Advisor Patrick Munro talking about the benefits of living cheaply.,1
"Alright, now we want to look at the political environment.",0
"Now, what we're talking about when we're talking about politics, or political environment, are they Democrat?",0
"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2
"And even after the election and the tribal warfare was going on, tribal people were killing one another, but Equity had branches all over the country.",-1
And all the different tribes left Equity Bank alone.,-1
"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1
"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",2
"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",1
"As governor, I participated in several meetings with executives from high-tech companies who are interested in doing business in, or with, Kentucky.",2
They were all impressed by the thriving lifescience sector in our state.,2
"As a result of these meetings, one or more of these companies may soon expand their existing Kentucky facilities, or establish new operations in our state.",2
Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,1
Our state pavilion provides an eye-catching environment in which Kentucky biotech companies and organizations can meet prospective customers and business partners.,1
My name is Pat Iyer.,1
I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,1
In this video I share tips about exhibiting your services at an attorney conference.,1
One of the things that is most important to do when you consider exhibiting is to think about your goals.,0
What would you like to get out of this experience?,1
Here are three goals that you can achieve by signing up to become an exhibitor at an attorney conference.,1
First exhibiting is a wonderful opportunity to network with other legal vendors.,1
"I have learned a great deal by talking to other legal vendors, then finding out what kinds of conferences that they have attended, where they have found they've gotten the most success.",0
"This has saved me a lot of trouble and expense, by learning more about the field and specifically, about what kinds of ways that I can use to approach attorneys.",1
"Secondly, another goal of exhibiting  is building your company image.",0
"This is an opportunity for you to highlight your products, your testimonials that you have gotten from clients, letters of recommendation and publications.",2
You can also feature a new product.,2
"When I exhibit attorneys come up to me and say, ""So Pat, what's new?",2
"What are you doing that's different?"" They always want an answer.",1
"You can highlight a new product, a new service.",1
"You can look at what you want to share with your clients, about what you're doing and what's new in your practice.",1
"Third, another big benefit of exhibiting is connecting with existing clients.",1
,2
And this secret will also help you if you ever decide to ask out that special someone,2
"So, what is this secret I'm telling you about",0
"Well, it is the secret of power pose",1
,1
"So, first of all, what am I talking about",0
What is a power pose,1
"Well, for starters, let's look at the word ""power""",1
"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",1
Power is similar to strength,2
You got to visit your family for the holidays and your mom and dad has some big news.,0
Your dad tells you that he has a recent cancer diagnosis and that they give him six months to live.,1
He's dying.,-1
I'm here to talk to you today about how to cope with a dying person.,-1
"You know, at times a person may ingest something that wasn't supposed to be ingested, known as a poison.",-1
"Hi, I'm Captain Joe Bruni.",-1
What we're going to talk about is the steps to take if someone ingests some type of poison.,-1
The first thing to determine is what type of product or poison was ingested.,0
"Was it plant, was it food, or was it some type of drug?",1
,0
There are a dozen or more hands on techniques that we can do,0
So physical therapists and chiropractors will do joint manipulations and mobilizations,0
If you go to the HipTrac website or Youtube channel you'll see some demonstrations of these techniques,0
You can go to the Youtube channel and you can see demonstrations of some of these techniques,2
"Some of them are very relaxing, very gentle, very pain relieving",1
They are all very safe,0
Then there are ones that are a little less comfortable,-1
Sometimes we have to stretch that joint that is already irritated,0
"How, at a particular moment in time—our moment in time—are they limited",0
And how could we get beyond those limits,0
"And philosophers aren’t in the business in my view of trying to sort of add some sort of knowledge to the knowledge that is given by physicists and art critics and linguists and anthropologists, et cetera, et cetera, et cetera",1
"If you've ever flown on a plane, you may have noticed that it would feel better to pop your ears.",1
"I'm Dan Carlson, I'm a nurse and I'm going to help you how to pop your ears.",-1
"The biggest mistake people make when they start positioning their products or their services or their businesses, is to take a position that somebody else has already got.",-1
Especially a competitor.,1
"You know, it goes back to the old idea that customers only come from one of two place.",1
Selling a condo or coop apartment can be a great experience.,0
I'm Richard Blake in Clearwater Florida and I'm here to explain how to sell a condo or a coop apartment.,0
First thing you want to do is contact your local real estate agent and ask them what properties have sold in the last six months.,0
This will give you an idea of the current market value of your condo.,0
Generally you're going to want to use properties that are in that immediate community or in that immediate complex and if for what ever reason nothing has sold.,0
In the last six months.,0
"Hey there, Tracy Goodwin here the red sweater lady and today we're going to learn about how to prepare and give a speech at a wedding anniversary.",1
"Now the chances are pretty good that sometime in your life time you're going to be asked to give this type of speech either to your parents or your grandparents, or any kind of relative or friend.",1
Don't worry a wedding anniversary speech is one of the easiest speeches to write and give.,2
Hi my name is Dr. Art Bowler and I am a psychologist in Manhattan New York City where I have my own private practice.,1
In this clip we are going to talk about how to deal with depression.,2
Depression is a very serious illness and it effects many many Americans and people across the globe.,1
"Depression is evidenced by depressed moods for more than two weeks ever day, loss of energy, difficulty sleeping, appetite changes, loss of energy, thoughts of suicide.",1
trade labor unions didn’t allow Black workers to join,1
"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",1
"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",-1
Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,-2
The prevailing beliefs about race and racism ultimately reinforced themselves,0
"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",1
"Racial formation refers to the process through which social, political, and economic forces influence how a society defines racial categories – and how those racial categories in turn end up shaping those forces",0
Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,0
Another modern look at these issues can be seen in the work of sociologist William Julius Wilson,1
My name is Julie Asti.,1
I'm a Certified Financial Planner with Asti Financial Management.,0
And today I'm going to talk about how to design a savings plan.,1
The first thing you want to do in trying to design a savings plan is to first create a working budget.,1
"Because you want to make sure that after, as your income comes in and you've paid all of your fixed and your variable expenses that you have some money that you can actually dedicate to a savings plan.",0
So the first step is definitely going to be able to create a working budget that provides you with hopefully positive cash flow in which you can start a savings plan.,1
"When you are looking into a savings plan, one of the things that you are going to need to ask yourself is what are you saving for.",1
This is financial adviser Patrick Munro discussing about what are the best mutual funds to invest in.,1
Mutual funds are a trillion dollar marketplace.,0
They're widely available to individuals that are in the accumulation phase of life.,0
,0
"I think, up until that time, there was not a whole lot of notoriety that was coming to the Friendship Nine",0
"But, at the time, I was serving on the Cultural and Heritage Museum Board",1
"And if you knew anything about the turn of the century, everybody was trying to decide, what was the biggest thing that happened in the previous century",0
"DARREN HUSTON: Yeah, I mean the recession, or the great recession as they might call it, has certainly hasn't stopped any of the transformation that was going on in technology.",1
"But I think for many of us, it exposed maybe a lot of issues that were happening underneath the water.",1
This is Patrick Munro talking about the best way to invest money.,1
Very first one we have is Drama Queen,0
Drama queen is used especially for a woman who is extremely melodramatic,1
Like for a situation or for an event the way this woman would react will be in a very exaggerated and melodramatic way,-1
"Like for example, a friend of mine lost her wallet",-1
"And this another friend of mine was like ""Oh no, Really",-1
,0
"Now that's quite and exaggerated reaction, right",1
,1
What books are you currently reading,1
,2
so I definitely recommend to check them out,1
A Harry Potter mug or a Star Wars mug,1
I'm probably gonna go with Harry Potter,2
,1
"we probably all know the answer to that right now, so say it with me folks",1
"Starbuck's salted caramel, hot chocolate",1
Do you plan on doing a house tour,3
,1
hearing loss when I was four to the time I was like in my twenties,-1
I didn't want anyone to know,-1
"It was a huge secret and I didn't tell anyone: my friends, family members, i did not want anyone to know",-1
"Disney, but from all over the place-what we hear in the radio",1
"So for those of us in the theatres, watching Frozen for the first time, again, we see this build-up happening",1
"And we were probably subconsciously just expecting ""Let it Go",0
,1
,2
,1
"Welcome to the Monday Morning Brief for February 6, 2017",1
The Citizens’ Stamp Advisory Committee is down to 11 members,0
Henry Louis Gates Jr,1
has left after serving the maximum 12 years allowed on the panel,0
"In an interview with Linn’s Washington Correspondent Bill McAllister, Gates said he would have never resigned from the panel, adding that it was his favorite one to serve on",0
"In addition to being a noted Harvard professor of African and African-American research, Gates is a literary scholar, journalist, author, filmmaker",1
"His documentaries include Finding Your Roots, which currently airs on PBS",1
The roots of the Citizens’ Stamp Advisory Committee are believed to date back to the 1940s,0
Many have suggested that it was the 1948 3¢ Poultry Industrial Chicken stamp — which has long been widely regarded as one of the least-necessary U,0
,0
commemorative stamps ever — and other similar special-interest stamps that led to a call for a group to oversee the selection of topics to be honored on our postage,0
"Whatever the impetus, it was almost a decade before the Citizens’ Stamp Advisory Committee was established by Postmaster General Arthur E",1
Summerfield in March of 1957,0
"The announcement at the time said that the group “shall advise the Post Office Department on any matters pertaining to the subject matter, design, production and issuance of postage stamps",0
” The role of the committee hasn’t changed much,0
"On its website today, the United States Postal Service says, “The group selects subjects for recommendation as future stamp issues, made with all postal customers in mind, including stamp collectors",1
"” Also, as in 1957, the postmaster general is the one who appoints new committee members",0
"These members come from many different fields, the Postal Service specifically states that they “provide expertise on history, science and technology, art, education, sports, and other subjects of public interest",0
” The stamp hobby is represented as well,1
"The committee is currently chaired by Janet Klug, a lifelong collector, a former president of the American Philatelic Society and a Linn’s columnist",0
"Another prominent collector and the former chief curator of philately for the Smithsonian National Postal Museum, Cheryl Ganz, also serves on the committee",0
"As Bill McAllister points out in his report about Gates’ departure from the committee, its deliberations are kept secret",0
"However, McAllister said that Gates told him in an interview that the panel has approved all his suggestions for stamps celebrating the contributions of African-Americans to the United States",0
These include the three most recent stamps in the Black Heritage series,0
"They honori architect Robert Robinson Taylor; Bishop Richard Allen, founder of the African Methodist Episcopal Church; and most recently civil rights leader and activist Dorothy Height",1
"She was honored on a stamp just issued February 1, the first day of Black History Month",1
"Gates also told McAllister that an upcoming set of stamps will commemorate key players in the Harlem Renaissance, an early 20th-century cultural, artistic and social explosion",0
"Gates himself has been pictured on a postage stamp, part of a pane of six issued by Ghana in 1998 paying tribute to Great Black Writers of the 20th Century",1
"For Linn’s Stamp News and Scott catalogs, I’m Denise McCarty",-1
"Dear learners, a warm welcome to the online courses in this objective political science",1
The online course1 Indian Constitution at work introduces the making and working of our Constitution since 1950 in a detailed manner,1
As you are aware the Constitution of India is the longest Constitution in the world The making of our Constitution itself was an exercise in consensus building You know very well that Constitution plays a very crucial role in our everyday life,1
So it is very important that we understand the Constitution better both not just only for the sake of our academic life but also personal life,2
The course seeks to lay a solid foundation for understanding the system of constitutional government in india with the help of examples from the real life,0
"The course explains various provisions of the Constitution about the fundamental rights and other rights electoral system that we adopted functioning and functionaries of the three organs of the government,namely executive,legislature and judiciary",1
"It then explains the mechanics of our federal system and how our local government bodies work in rural as well as urban areas, especially in the light of the 73rd and 74th amendments to the Constitution",0
The course elaborates on the dynamic nature of our Constitution as a living document and concludes with the underlying philosophy of the Constitution of India,0
"Katherine Tweedie, Director and Head of Africa at the World Economic Forum.",1
Can you tell us why this year is a milestone year for the forum’s relationship with the African continent?,1
"Well, we’re delighted that 2010 marks the 20th anniversary of the forum’s engagement in Africa.",0
"And this year we will be holding the summit in East Africa in Dar es Salaam, Tanzania, hosted by His Excellency President Kikwete.",2
And who are the participants going to be and who are the co-chairs of this meeting?,1
"Well, we expect over 800 leaders from all over Africa, all over the world to attend the meeting in Dar es Salaam.",1
"We have five co-chairs including Ajai Chowdhry, who is the founder and chairman of HDL Technologies from India.",2
"We have JørgenHaslestad, who is the chief executive of Yara International.",1
From South Africa we have Pat Davies from Sasol as well as Kuseni Dlamini from Old Mutual.,0
And our fifth co-chair is Anna Tibaijuka from the UN-HABITAT.,0
And can you tell us a bit more about the program?,0
[MUSIC PLAYING] Fokus is a very simple tool for people who want to know everything about analytics.,1
"We suck up the information and present, very beautifully, on the simple dashboard.",2
And this is something very cool for people who want to have the electronic pulse.,1
"The first time I approached the person that I was thinking about as an investor, he told me that he didn't see me as an entrepreneur, as a CEO of this company, because I have lots of things to do.",1
I have my own startup.,-1
I have my two other things to do.,1
I'm very active on social media.,1
,0
"Over the years, both the Duke and his younger brother Prince Harry have become more vocal about their mother's death",-1
"Earlier this year, during a visit to the Child Bereavement UK Centre in London, William comforted a grieving girl, Aoife, nine, who had lost her dad",0
"""Do you know what happened to me",-1
"You know I lost my mummy when I was very young,"" said the Prince",0
"""I was 15 and my brother was 12",-1
So we lost our mummy when we were young as well,-1
Do you speak about your daddy,2
